country,USD_Normalized_MEAN
Australia,450.67000924537723
Austria,517.4251573054122
Brazil,899.5101812243348
Canada,412.8553506554199
Czech Republic,541.1827448773968
Denmark,541.4184887972832
Finland,533.5745067843576
France,521.4624946751486
Germany,517.4251573054122
Hungary,523.3386222493468
India,522.6667666841361
Ireland,529.5371694146213
Italy,532.7670393104105
Luxembourg,504.2254865087961
Mexico,515.4940714770942
Netherlands,521.7208842668117
Norway,541.2282667480426
Philippines,468.4288137425404
Poland,516.7330666944279
Portugal,533.5745067843576
Russia,528.9098335928109
Spain,519.0400922533067
Sweden,547.0247239124785
Thailand,424.65441511770047
United States,408.2857142857143
